hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.05357142857142857
50,cau,0,0.0,1.0
50,cau,0,0.0,1.0
50,cau,0,0.0,1.0
50,cau,0,0.0,0.125
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.08928571428571429
50,cau,0,0.0,1.0
50,cau,0,0.0,1.0
50,cau,0,0.0,0.03571428571428571
50,cau,0,0.0,0.08928571428571429
50,cau,0,0.0,1.0
50,cau,0,0.0,0.05357142857142857
50,cau,0,0.0,0.017857142857142856
50,cau,0,0.0,0.017857142857142856
75,ch,0,0.017857142857142856,0.0
75,ch,0,1.0,0.0
75,ch,0,0.03571428571428571,0.0
75,ch,0,0.017857142857142856,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,0.05357142857142857,0.0
75,ch,0,0.017857142857142856,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,0.017857142857142856,0.0
75,ch,0,0.017857142857142856,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,1.0,0.0
75,ch,0,0.017857142857142856,0.0
75,ch,0,1.0,0.0
75,ch,10,1.0,1.0
75,ch,10,1.0,1.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,1.0,1.0
75,ch,10,1.0,1.0
75,ch,10,1.0,1.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,1.0,1.0
75,ch,10,1.0,1.0
75,ch,10,1.0,1.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,1.0,1.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,0.017857142857142856,0.16666666666666666
75,ch,10,0.03571428571428571,0.0
75,ch,10,0.0,0.16666666666666666
75,ch,10,1.0,1.0
75,ch,10,0.017857142857142856,0.0
75,ch,10,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,0.05357142857142857,0.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,0.017857142857142856,0.0
75,ch,20,0.0,0.07142857142857142
75,ch,20,1.0,1.0
75,ch,20,0.03571428571428571,0.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,0.03571428571428571,0.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,0.017857142857142856,0.0
75,ch,20,0.017857142857142856,0.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,20,1.0,1.0
75,ch,30,1.0,1.0
75,ch,30,1.0,1.0
75,ch,30,0.0,0.041666666666666664
75,ch,30,0.017857142857142856,0.0
75,ch,30,0.017857142857142856,0.0
75,ch,30,1.0,1.0
75,ch,30,0.017857142857142856,0.0
75,ch,30,1.0,1.0
75,ch,30,1.0,1.0
75,ch,30,0.017857142857142856,0.0
75,ch,30,1.0,1.0
75,ch,30,0.017857142857142856,0.0
75,ch,30,0.017857142857142856,0.0
75,ch,30,1.0,1.0
75,ch,30,1.0,1.0
75,ch,30,0.03571428571428571,0.0
75,ch,30,1.0,1.0
75,ch,30,1.0,1.0
