run;nb_cc;ethnie;proportion;proportion_correct_cau;proportion_correct_ch;
2;50;cau;20;0.857142857142857;0.946428571428571;
3;50;cau;20;1;1;
4;50;cau;20;0.928571428571428;0.964285714285714;
5;50;cau;20;1;0.964285714285714;
6;50;cau;20;1;0.982142857142857;
7;50;cau;20;0.928571428571428;0.982142857142857;
8;50;cau;20;0.928571428571428;1;
9;50;cau;20;0.928571428571428;0.803571428571428;
10;50;cau;20;0.857142857142857;1;
1;50;cau;10;1;0.5;
2;50;cau;10;0.333333333333333;0.428571428571428;
3;50;cau;10;0.833333333333333;0.357142857142857;
4;50;cau;10;0.833333333333333;0.589285714285714;
5;50;cau;10;0.833333333333333;0.517857142857142;
6;50;cau;10;0;0.375;
7;50;cau;10;0.5;0.392857142857142;
8;50;cau;10;0.333333333333333;0.178571428571428;
9;50;cau;10;0.666666666666666;0.25;
10;50;cau;10;0.5;0.517857142857142;
1;50;cau;0;0;0.267857142857142;
2;50;cau;0;0;0.321428571428571;
3;50;cau;0;0;0.464285714285714;
4;50;cau;0;0;0.517857142857142;
5;50;cau;0;0;0.625;
6;50;cau;0;0;0.5;
7;50;cau;0;0;0.589285714285714;
8;50;cau;0;0;0.375;
9;50;cau;0;0;0.517857142857142;
10;50;cau;0;0;0.464285714285714;
1;75;ch;0;0.910714285714285;0;
2;75;ch;0;0.660714285714285;0;
3;75;ch;0;0.732142857142857;0;
4;75;ch;0;0.803571428571428;0;
5;75;ch;0;0.625;0;
6;75;ch;0;0.839285714285714;0;
7;75;ch;0;0.607142857142857;0;
8;75;ch;0;0.625;0;
9;75;ch;0;0.696428571428571;0;
10;75;ch;0;0.910714285714285;0;
1;75;ch;10;0.589285714285714;1;
2;75;ch;10;0.660714285714285;0.5;
3;75;ch;10;0.821428571428571;1;
4;75;ch;10;0.678571428571428;0.5;
5;75;ch;10;0.803571428571428;0.833333333333333;
6;75;ch;10;0.714285714285714;0.833333333333333;
7;75;ch;10;0.785714285714285;1;
8;75;ch;10;0.875;1;
9;75;ch;10;0.839285714285714;1;
10;75;ch;10;0.589285714285714;0.5;
1;75;ch;20;0.982142857142857;1;
2;75;ch;20;0.982142857142857;1;
3;75;ch;20;1;1;
4;75;ch;20;0.982142857142857;0.928571428571428;
5;75;ch;20;1;1;
6;75;ch;20;0.982142857142857;1;
7;75;ch;20;0.982142857142857;1;
8;75;ch;20;0.982142857142857;1;
9;75;ch;20;0.982142857142857;1;
10;75;ch;20;1;1;
1;75;ch;30;1;1;
2;75;ch;30;1;1;
3;75;ch;30;1;1;
4;75;ch;30;1;1;
5;75;ch;30;1;1;
6;75;ch;30;1;1;
7;75;ch;30;1;1;
8;75;ch;30;1;0.958333333333333;
9;75;ch;30;1;1;
10;75;ch;30;1;1;
1;75;ch;40;1;1;
2;75;ch;40;1;1;
3;75;ch;40;1;1;
4;75;ch;40;1;1;
5;75;ch;40;1;1;
6;75;ch;40;1;1;
7;75;ch;40;1;1;
8;75;ch;40;1;1;
9;75;ch;40;0.982142857142857;1;
10;75;ch;40;1;1;
1;75;ch;50;1;1;
2;75;ch;50;1;1;
3;75;ch;50;1;1;
4;75;ch;50;1;1;
5;75;ch;50;0.982142857142857;1;
6;75;ch;50;1;1;
7;75;ch;50;1;1;
8;75;ch;50;1;1;
9;75;ch;50;1;1;
10;75;ch;50;0.982142857142857;1;
1;75;cau;40;1;1;
2;75;cau;40;1;1;
3;75;cau;40;1;1;
4;75;cau;40;1;1;
5;75;cau;40;1;1;
6;75;cau;40;1;1;
7;75;cau;40;0.972972972972973;1;
8;75;cau;40;0.972972972972973;1;
9;75;cau;40;1;1;
10;75;cau;40;1;1;
1;75;cau;30;1;1;
2;75;cau;30;1;1;
3;75;cau;30;1;1;
4;75;cau;30;1;1;
5;75;cau;30;0.958333333333333;1;
6;75;cau;30;0.958333333333333;1;
7;75;cau;30;1;1;
8;75;cau;30;1;1;
9;75;cau;30;1;1;
10;75;cau;30;1;1;
1;75;cau;20;0.928571428571428;0.964285714285714;
2;75;cau;20;1;0.982142857142857;
3;75;cau;20;1;1;
4;75;cau;20;0.928571428571428;0.982142857142857;
5;75;cau;20;1;1;
6;75;cau;20;1;1;
7;75;cau;20;0.928571428571428;1;
8;75;cau;20;0.857142857142857;1;
9;75;cau;20;1;1;
10;75;cau;20;1;1;
1;75;cau;10;0.833333333333333;0.714285714285714;
2;75;cau;10;0.666666666666666;0.428571428571428;
3;75;cau;10;0.5;0.5;
4;75;cau;10;1;0.375;
5;75;cau;10;0.333333333333333;0.321428571428571;
6;75;cau;10;0.666666666666666;0.464285714285714;
7;75;cau;10;0.666666666666666;0.464285714285714;
8;75;cau;10;0.833333333333333;0.696428571428571;
9;75;cau;10;0.666666666666666;0.285714285714285;
10;75;cau;10;0.833333333333333;0.446428571428571;
1;75;cau;0;0;0.446428571428571;
2;75;cau;0;0;0.339285714285714;
3;75;cau;0;0;0.339285714285714;
4;75;cau;0;0;0.571428571428571;
5;75;cau;0;0;0.660714285714285;
6;75;cau;0;0;0.464285714285714;
7;75;cau;0;0;0.517857142857142;
8;75;cau;0;0;0.285714285714285;
9;75;cau;0;0;0.607142857142857;
10;75;cau;0;0;0.517857142857142;
